연번,시군명,시설명,주소,연락처,시설인원,운영주체,시설설치일
227,고성군,영남복지원,경상남도 고성군 동해면 장좌3길  120 (동해면),055-673-5783,12,재단법인,2011-01-05
228,고성군,정다운집,경상남도 고성군 마암면 당항만로  271 (마암면),055-672-6425,9,개인,2011-05-23
229,고성군,르네상스요양원,경상남도 고성군 하이면 공룡로  224 (하이면),055-835-4343,16,개인,2022-12-21
230,고성군,고성군치매전문요양원,경상남도 고성군 고성읍 남포로79번길  125 (고성읍),055-674-1880,64,기타,2023-11-01
231,남해군,남해요양원,"남해군 남해읍 화전로  173 (남해읍, 남해요양원)",055-864-1551,79,사회복지법인,2008-05-19
232,남해군,남해창선노인전문요양원,남해군 창선면 율도로  57 (창선면),055-867-5631,42,사회복지법인,2009-08-28
233,하동군,사회복지법인 자혜복지재단 노량실버타운,경상남도 하동군 금남면 연화마을길  49-15 (금남면),055-884-0074,73,사회복지법인,2006.06.27.
234,하동군,하동요양원,경상남도 하동군 옥종면 옥단로  587 (옥종면),055-884-7070,80,사회복지법인,2003.09.01.
235,하동군,한사랑요양원,경상남도 하동군 고전면 하동읍성로  615 (고전면),055-884-7800,85,사회복지법인,2009.06.01.
236,하동군,대한노인요양원,경상남도 하동군 적량면 경서대로  360 (적량면),055-883-2520,43,개인,2012.07.05.
237,하동군,사랑드림,경상남도 하동군 진교면 경충로  665-37 (진교면),055-882-1399,9,개인,2019.11.04.
238,하동군,하동군 치매요양원,경상남도 하동군 횡천면 경서대로  1187 (횡천면),055-883-9232,70,기타,2021.10.19.
239,하동군,행복누리요양원,경상남도 하동군 하동읍 오룡정길  31 (하동읍),055-882-1289,18,개인,2023.04.01.
240,산청군,산청복음전문요양원,경상남도 산청군 단성면 강누방목로401번길  79 (단성면),055-973-3000,98,사회복지법인,20080526
241,산청군,산청복음실버타운,경상남도 산청군 단성면 강누방목로401번길  79 (단성면),055-973-0880,86,사회복지법인,20080526
242,산청군,산청우리요양원,경상남도 산청군 단성면 사직단로257번길  8-7 (단성면),055-974-0980,54,사회복지법인,20080529
243,산청군,산청예심소규모노인종합센터,경상남도 산청군 금서면 동의보감로312번길  11-10 (금서면),055-974-0675,19,사회복지법인,20081103
244,산청군,산청성모요양원,경상남도 산청군 금서면 친환경로  2016 (금서면),055-974-0093,96,사회복지법인,20091222
245,산청군,한일노인요양원,경상남도 산청군 산청읍 웅석봉로67번길  24 (산청읍),055-974-1204,73,사회복지법인,20100427
246,산청군,산청선문노인요양원,경상남도 산청군 생비량면 비량로  29 (생비량면),055-974-1992,14,사회복지법인,20130301
247,산청군,산청한방실버타운,경상남도 산청군 금서면 친환경로  2016 (금서면),055-974-0094,71,사회복지법인,20140701
248,산청군,가현누리실버타운,"경상남도 산청군 단성면 목화로474번길 14-2 (단성면, 가현누리실버타운)",055-972-7676,14,주식회사,20150901
249,산청군,한사랑실버타운,경상남도 산청군 생비량면 비량로  411-7 (생비량면),055-973-5457,16,개인,20161229
250,산청군,라온제나복지센터노인그룹홈,경상남도 산청군 삼장면 친환경로372번길  7 (삼장면),055-974-1155,9,개인,20210916
251,함양군,지리산노인요양원,경상남도 함양군 유림면 천왕봉로  2877-17 (유림면),055-963-3114,79,사회복지법인,2008-05-29
252,함양군,이레소망의집,경상남도 함양군 안의면 황마로  886 (안의면),055-962-0659,68,사회복지법인,2008-05-30
253,함양군,오봉산무지개마을,경상남도 함양군 함양읍 함양로  179-150 (함양읍),055-962-2936,24,사회복지법인,2008-06-10
254,함양군,함양은혜의집,경상남도 함양군 마천면 천왕봉로  1449-15 (마천면),055-962-5078,24,사회복지법인,2008-06-10
255,함양군,연꽃노인요양원,경상남도 함양군 함양읍 함양로  983-17 (함양읍),055-964-5577,69,사회복지법인,2009-06-12
256,함양군,다볕골노인요양원,경상남도 함양군 함양읍 삼봉로  442-14 (함양읍),055-964-2517,28,사회복지법인,2009-09-30
257,함양군,상림노인요양원,경상남도 함양군 함양읍 고운로  374-32 (함양읍),055-963-9956,45,사회복지법인,2010-03-01
258,함양군,세진요양원,경상남도 함양군 함양읍 삼휴길  29-4 (함양읍),055-964-6789,28,개인,2013-09-12
259,함양군,유성케어링,경상남도 함양군 함양읍 고운로  323 (함양읍),055-964-8383,36,개인,2020-12-29
260,거창군,거창노인전문요양원,"경상남도 거창군 거창읍 거안로  1266-43 (거창읍, 거창노인전문요양원)",055-943-7007,67,사회복지법인,2008-05-30
261,거창군,베푸는 공동체,경상남도 거창군 가조면 가조가야로  1629-82 (가조면),055-941-0691,37,개인,2009-01-20
262,거창군,성은실버타운,"경상남도 거창군 거창읍 거창대로  55 6층 (거창읍, 성은주상복합빌딩)",055-945-3771,26,개인,2009-12-16
263,거창군,에덴실버요양원,경상남도 거창군 마리면 거안로  1048 (마리면),055-942-8480,60,개인,2010-03-12
264,거창군,아림노인요양원,경상남도 거창군 거창읍 운정3길  179 (거창읍),055-944-8600,53,사회복지법인,2010-05-07
265,거창군,엘림의 집,경상남도 거창군 마리면 빼재로  419 (마리면),055-941-0557,20,개인,2011-01-01
266,거창군,인애노인요양원,경상남도 거창군 거창읍 절부길  42-73 1층 (거창읍),055-945-2130,19,사회복지법인,2011-01-28
267,거창군,복민노인요양원,경상남도 거창군 가조면 방촌길  76-17 (가조면),055-942-0135,90,사회복지법인,2013-11-01
268,거창군,거창시니어카운티,"경상남도 거창군 신원면 신차로  2997 (신원면, 공립 치매전담형 노인요양시설)",055-943-7779,35,사회복지법인,2024-08-07
269,합천군,합천군립노인전문요양원,경상남도 합천군 초계면 우회로  72-14 (초계면),055-934-0575,41,사회복지법인,2007-02-13
270,합천군,합천노인전문요양원,경상남도 합천군 삼가면 삼가로  10-13 (삼가면),055-931-1012,115,사회복지법인,2004-10-05
271,합천군,광명노인요양원,경상남도 합천군 가야면 치인5길  118 (가야면),055-934-0805,41,사회복지법인,1999-04-22
272,합천군,노블하임노인전문요양원,경상남도 합천군 용주면 연촌우곡길  70 (용주면),055-931-8600,57,사회복지법인,2008-09-10
273,합천군,미타노인요양원,"경상남도 합천군 적중면 우회로  1198 1,2층 (적중면)",055-932-5555,37,사회복지법인,2010-05-14
274,합천군,에벤에셀노인요양원,경상남도 합천군 야로면 가야산로  728 (야로면),055-933-2917,87,사회복지법인,2010-10-20
